Sample,Average_Probability,Number_of_Batches
TRUST_6718d792-5cbe-436e-9f6e-428de03ac9f8_airr_extracted_trb_frequencies_filtered.tsv,0.4333,1
TRUST_69579b46-713e-4b83-b4a6-eed6b1da6c0d_airr_extracted_trb_frequencies_filtered.tsv,0.6365,1
TRUST_6a4995f5-588f-4120-9b20-c1ca5bf28c39_airr_extracted_trb_frequencies_filtered.tsv,0.5978,2
TRUST_6a994be9-cdcb-41fc-8511-c875f317f874_airr_extracted_trb_frequencies_filtered.tsv,0.5397,1
TRUST_6aac86d4-9fb5-42da-8ca8-b9c0f0022426_airr_extracted_trb_frequencies_filtered.tsv,0.4108,2
TRUST_6b6922b0-8766-4168-9038-1c775e1f1747_airr_extracted_trb_frequencies_filtered.tsv,0.6055,1
TRUST_6e42c897-be8b-490c-8cb2-e9495610b10d_airr_extracted_trb_frequencies_filtered.tsv,0.7006,1
TRUST_77d87cba-bcda-49e3-8f36-ca1874b2d6ee_airr_extracted_trb_frequencies_filtered.tsv,0.4931,1
TRUST_77e28dad-a67c-40b7-ac81-f2dbc6c9ebb0_airr_extracted_trb_frequencies_filtered.tsv,0.6299,1
TRUST_78095b56-3a44-4654-9364-6971fc20004e_airr_extracted_trb_frequencies_filtered.tsv,0.6454,1
TRUST_787221c9-703b-4218-a123-dd3cc94a24c2_airr_extracted_trb_frequencies_filtered.tsv,0.5953,1
TRUST_7bc2d53d-cd8a-48b2-b163-d18d0e2a5f85_airr_extracted_trb_frequencies_filtered.tsv,0.4811,1
TRUST_7d2ec02f-f126-4043-b671-ea921b59e13f_airr_extracted_trb_frequencies_filtered.tsv,0.6057,1
TRUST_7e4d321b-6fad-4f69-90e6-d146dc80a752_airr_extracted_trb_frequencies_filtered.tsv,0.6257,1
TRUST_8013c0d9-ef09-4c62-ad8f-d563db506cb6_airr_extracted_trb_frequencies_filtered.tsv,0.5644,1
TRUST_80203ebf-5eed-4690-8ee7-b095b2d1d34c_airr_extracted_trb_frequencies_filtered.tsv,0.3769,1
TRUST_80483dae-3f79-4a84-95da-e52862c117f4_airr_extracted_trb_frequencies_filtered.tsv,0.5625,1
TRUST_80f5cdc8-e9ba-4fe6-a278-2156b9ebccb2_airr_extracted_trb_frequencies_filtered.tsv,0.4614,1
TRUST_81288f84-549c-4af0-8b00-c5ea0c48347f_airr_extracted_trb_frequencies_filtered.tsv,0.5069,1
TRUST_8128e3d0-832b-4619-b462-9a814f6397b1_airr_extracted_trb_frequencies_filtered.tsv,0.452,1
TRUST_816e449f-1acc-4ff3-99c5-c1c6c8149bde_airr_extracted_trb_frequencies_filtered.tsv,0.6064,1
TRUST_8326de55-44ae-4c87-be74-229c2b5deeeb_airr_extracted_trb_frequencies_filtered.tsv,0.5046,1
TRUST_84f66a53-029b-4727-bb2e-93c38541494f_airr_extracted_trb_frequencies_filtered.tsv,0.6666,3
TRUST_85676a7b-9e93-444d-b76c-e110db80876c_airr_extracted_trb_frequencies_filtered.tsv,0.5701,1
TRUST_858a7774-a964-41ea-99df-b211b011e6fc_airr_extracted_trb_frequencies_filtered.tsv,0.6295,2
TRUST_85c32448-efc6-44ef-9fad-3b3403203843_airr_extracted_trb_frequencies_filtered.tsv,0.6712,1
TRUST_85c523c5-39fb-4dfb-8fda-39ab4a3827f6_airr_extracted_trb_frequencies_filtered.tsv,0.4502,1
TRUST_865fe9ae-2260-42c1-bb54-0294811bbfb7_airr_extracted_trb_frequencies_filtered.tsv,0.4567,1
TRUST_89ae52ff-122a-4c93-8baa-f9264bcfaff1_airr_extracted_trb_frequencies_filtered.tsv,0.3505,1
TRUST_8d1f39e1-e2e7-442a-bc88-d1d54d907fb7_airr_extracted_trb_frequencies_filtered.tsv,0.68,1
TRUST_8df1b7c8-38d9-4bfe-94ee-046d39c9eabf_airr_extracted_trb_frequencies_filtered.tsv,0.5853,1
TRUST_8e700b87-1876-400f-ada0-479e5257ac10_airr_extracted_trb_frequencies_filtered.tsv,0.5951,1
TRUST_8ee166fd-2907-413c-b26f-3ed0a4f8fab8_airr_extracted_trb_frequencies_filtered.tsv,0.6175,34
TRUST_93171b2b-61ed-44fd-a4e0-9f03ff1f1cd9_airr_extracted_trb_frequencies_filtered.tsv,0.3918,1
TRUST_93c435ca-6416-46eb-9f5d-921da8fb155c_airr_extracted_trb_frequencies_filtered.tsv,0.642,1
TRUST_95fd3d62-a3b3-425b-82a1-f6ec35e8734e_airr_extracted_trb_frequencies_filtered.tsv,0.6702,1
TRUST_96702430-a3ce-4831-9ab8-6fa4bb043d4b_airr_extracted_trb_frequencies_filtered.tsv,0.5728,1
TRUST_98fa6e05-b441-4287-aa6c-062012f2de98_airr_extracted_trb_frequencies_filtered.tsv,0.6807,1
TRUST_9e703f89-8102-4509-b42b-8911453c514c_airr_extracted_trb_frequencies_filtered.tsv,0.4383,1
TRUST_9f7f93d0-c241-41d6-8217-eb35e2b3a454_airr_extracted_trb_frequencies_filtered.tsv,0.6535,1
TRUST_a0f80b24-6b3b-4437-a3f8-965eee631570_airr_extracted_trb_frequencies_filtered.tsv,0.565,1
TRUST_a23ef756-9472-4f9f-b9bb-6c2c1bf25b53_airr_extracted_trb_frequencies_filtered.tsv,0.6406,1
TRUST_a262a310-26a2-43a6-bc7f-52a32c29687a_airr_extracted_trb_frequencies_filtered.tsv,0.6192,1
TRUST_a2cb741c-d2c3-45a7-8d97-9a2f2243d476_airr_extracted_trb_frequencies_filtered.tsv,0.5925,1
TRUST_a56af499-d952-4f41-802c-b61e83c7ec66_airr_extracted_trb_frequencies_filtered.tsv,0.5053,1
TRUST_a62c614c-9ab6-4dcc-bee1-fdc9d68df8ca_airr_extracted_trb_frequencies_filtered.tsv,0.7025,1
TRUST_a6cf6571-e320-4f1f-9bef-45cec1ba9825_airr_extracted_trb_frequencies_filtered.tsv,0.46,1
TRUST_a6f31fc5-a3bd-400e-abde-64833be445c7_airr_extracted_trb_frequencies_filtered.tsv,0.659,1
TRUST_a7837557-acf7-47a2-9dbe-64d7df9ef37f_airr_extracted_trb_frequencies_filtered.tsv,0.5657,1
TRUST_a8fa3adb-f405-448b-abad-3b971fe19286_airr_extracted_trb_frequencies_filtered.tsv,0.5593,1
TRUST_aa29778e-ccb3-490f-b8ad-aedb731b59fd_airr_extracted_trb_frequencies_filtered.tsv,0.6565,1
